***SESSION HEADER***
{
  "Participant": "NEO",
  "Timestamp": "11-04-18-05-09-2021"
}
---SESSION HEADER---
Time;Position; Rotation.X; Rotation.Y;FPS; Input;
39863.5681;(-23.1874, 1.0250, 0.0024);118.6000;9.3000;60.0048;;
39863.5845;(-23.1874, 1.0250, 0.0024);118.6000;9.3000;60.0036;;
39863.6009;(-23.1874, 1.0250, 0.0024);118.6000;9.3000;59.9986;;
39863.6179;(-23.1874, 1.0250, 0.0024);118.6000;9.3000;59.9831;;
39863.6339;(-23.1874, 1.0250, 0.0024);118.6000;9.3000;60.0080;;
39863.6680;(-23.1874, 1.0250, 0.0024);118.6000;9.3000;60.0364;;
39863.6840;(-23.1874, 1.0250, 0.0024);118.6000;9.3000;59.9872;;
39863.7010;(-23.1875, 1.0250, 0.0024);118.6000;9.3000;60.0082;;
39863.7180;(-23.1875, 1.0250, 0.0024);118.6000;9.3000;59.9714;;
39863.7343;(-23.1875, 1.0250, 0.0024);118.6000;9.3000;60.0059;;
39863.7679;(-23.1875, 1.0250, 0.0024);118.6000;9.3000;60.0041;;
39863.7839;(-23.1875, 1.0250, 0.0024);118.6000;9.3000;60.0420;;
39863.8009;(-23.1875, 1.0250, 0.0024);118.6000;9.3000;60.0108;;
39863.8179;(-23.1875, 1.0250, 0.0024);118.6000;9.3000;59.9661;;
39863.8339;(-23.1875, 1.0250, 0.0024);118.6000;9.3000;59.9964;;
39863.8679;(-23.1875, 1.0250, 0.0024);118.6000;9.3000;60.0108;;
39863.8845;(-23.1875, 1.0250, 0.0024);118.6000;9.3000;60.0003;;
39863.9005;(-23.1876, 1.0250, 0.0024);118.6000;9.3000;60.0207;;
39863.9176;(-23.1876, 1.0250, 0.0024);118.6000;9.3000;60.0126;;
39863.9346;(-23.1876, 1.0250, 0.0024);118.6000;9.3000;59.9911;;
39863.9677;(-23.1876, 1.0250, 0.0024);118.6000;9.3000;59.9910;;
39863.9840;(-23.1876, 1.0250, 0.0024);118.6000;9.3000;59.9807;;
